Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","Virginia Beach, VA","254","12","22","118","102","1,865","159","1,602","87"
"2002","Virginia Beach, VA","200","2","17","65","116","1,862","238","1,506","80"
"2003","Virginia Beach, VA","253","13","18","113","109","2,151","325","1,668","91"
"2004","Virginia Beach, VA","331","12","16","150","153","2,297","286","1,878","96"
"2005","Virginia Beach, VA","338","24","15","171","128","2,066","346","1,546","140"
"2006","Virginia Beach, VA","495","21","17","223","234","2,130","305","1,696","73"
"2007","Virginia Beach, VA","375","16","14","189","156","2,182","379","1,720","50"
"2008","Virginia Beach, VA","377","10","18","185","164","2,376","374","1,908","69"
"2009","Virginia Beach, VA","363","24","7","177","155","2,324","345","1,910","53"
"2010","Virginia Beach, VA","296","12","17","133","134","2,649","393","2,147","90"
"2011","Virginia Beach, VA","332","15","20","167","130","2,710","356","2,273","53"
"2012","Virginia Beach, VA","401","22","20","148","211","2,593","326","2,212","36"
"2013","Virginia Beach, VA","~","22","~","170","194","2,436","267","2,106","55"
"2014","Virginia Beach, VA","~","11","~","133","200","2,141","198","1,898","32"
"2001","Seattle, WA"
"2002","Seattle, WA","452","6","45","199","202","3,939","182","3,440","310"
"2003","Seattle, WA"
"2004","Seattle, WA","542","9","44","277","212","4,363","281","3,836","239"
"2005","Seattle, WA","598","5","24","298","271","3,799","255","3,341","199"
"2006","Seattle, WA","859","27","97","423","312","4,564","558","3,476","516"
"2007","Seattle, WA","913","31","121","433","328","4,602","542","3,654","389"
"2008","Seattle, WA","631","3","27","339","262","2,558","355","1,993","203"
"2009","Seattle, WA","1,037","1","27","470","539","3,742","390","3,123","222"
"2010","Seattle, WA","1,129","6","14","431","678","3,486","513","2,788","180"
"2011","Seattle, WA"
"2012","Seattle, WA","1,379","10","36","370","963","2,669","480","2,077","104"
"2013","Seattle, WA","~","3","~","451","943","3,296","525","2,578","184"
"2014","Seattle, WA","~","12","~","423","932","2,761","440","2,103","212"
"2001","Milwaukee, WI","2,773","283","176","858","1,456","7,155","754","6,239","86"
"2002","Milwaukee, WI","5,245","287","177","927","3,854","7,369","761","6,438","117"
"2003","Milwaukee, WI","4,410","290","156","854","3,110","8,674","766","7,758","102"
"2004","Milwaukee, WI"
"2005","Milwaukee, WI","1,648","105","182","652","709","1,984","469","762","709"
"2006","Milwaukee, WI","2,099","105","172","777","1,045","5,176","590","3,696","853"
"2007","Milwaukee, WI","2,405","110","237","1,102","956","5,235","672","4,076","434"
"2008","Milwaukee, WI","2,517","114","255","1,079","1,069","5,538","802","4,444","250"
"2009","Milwaukee, WI","2,100","78","204","870","948","5,841","1,074","4,629","104"
"2010","Milwaukee, WI","2,396","91","221","1,052","1,032","5,063","1,103","3,831","100"
"2011","Milwaukee, WI","2,761","82","244","1,142","1,293","4,989","1,080","3,766","113"
"2012","Milwaukee, WI","2,973","99","159","909","1,806","6,210","1,011","5,007","162"
"2013","Milwaukee, WI","~","80","~","999","1,552","4,984","818","4,027","108"
"2014","Milwaukee, WI","~","91","~","948","1,152","4,343","573","3,602","141"
