Year,City,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2001","Anchorage, AK","263,588","1,748","10","210","384","1,144","11,466","1,606","8,648","1,212","663.2","3.8","79.7","145.7","434.0","4,350.0","609.3","3,280.9","459.8"
"2002","Anchorage, AK","267,280","1,721","18","254","382","1,067","11,949","1,521","9,255","1,173","643.9","6.7","95.0","142.9","399.2","4,470.6","569.1","3,462.7","438.9"
"2003","Anchorage, AK","271,085","1,744","17","244","340","1,143","11,706","1,418","9,091","1,197","643.3","6.3","90.0","125.4","421.6","4,318.2","523.1","3,353.6","441.6"
"2004","Anchorage, AK","273,714","2,164","15","263","331","1,555","9,901","1,523","7,354","1,024","790.6","5.5","96.1","120.9","568.1","3,617.3","556.4","2,686.7","374.1"
"2005","Anchorage, AK","276,109","2,031","16","224","384","1,407","11,365","1,783","8,248","1,334","735.6","5.8","81.1","139.1","509.6","4,116.1","645.8","2,987.2","483.1"
"2006","Anchorage, AK","277,692","2,592","17","248","465","1,862","11,721","1,733","8,543","1,445","933.4","6.1","89.3","167.5","670.5","4,220.9","624.1","3,076.4","520.4"
"2007","Anchorage, AK","284,142","2,405","22","257","453","1,673","11,107","1,454","8,397","1,256","846.4","7.7","90.4","159.4","588.8","3,909.0","511.7","2,955.2","442.0"
"2008","Anchorage, AK","280,068","2,647","10","263","544","1,830","9,211","1,191","7,254","766","945.1","3.6","93.9","194.2","653.4","3,288.8","425.3","2,590.1","273.5"
"2009","Anchorage, AK","283,300","2,488","14","282","534","1,658","10,316","1,613","7,835","868","878.2","4.9","99.5","188.5","585.2","3,641.4","569.4","2,765.6","306.4"
"2010","Anchorage, AK","291,826","2,432","13","264","454","1,701","10,214","1,223","8,178","813","833.4","4.5","90.5","155.6","582.9","3,500.0","419.1","2,802.4","278.6"
"2011","Anchorage, AK","296,955","2,388","12","283","465","1,628","9,455","1,080","7,750","625","804.2","4.0","95.3","156.6","548.2","3,184.0","363.7","2,609.8","210.5"
"2012","Anchorage, AK","299,143","2,479","15","303","488","1,673","10,543","1,158","8,554","831","828.7","5.0","101.3","163.1","559.3","3,524.4","387.1","2,859.5","277.8"
"2013","Anchorage, AK","299,455","2,435","14","408","522","1,491","12,032","1,318","9,845","869","813.1","4.7","136.2","174.3","497.9","4,018.0","440.1","3,287.6","290.2"
"2014","Anchorage, AK","301,306","2,605","12","392","496","1,705","11,531","1,375","9,217","939","864.6","4.0","130.1","164.6","565.9","3,827.0","456.3","3,059.0","311.6"
"2001","Mobile, AL","255,551","1,529","42","95","840","552","18,346","4,653","12,284","1,409","598.3","16.4","37.2","328.7","216.0","7,179.0","1,820.8","4,806.9","551.4"
"2002","Mobile, AL","256,542","1,376","40","107","752","477","16,573","3,590","11,534","1,449","536.4","15.6","41.7","293.1","185.9","6,460.2","1,399.4","4,495.9","564.8"
"2003","Mobile, AL","251,345","1,300","24","113","739","424","16,151","3,976","10,855","1,320","517.2","9.5","45.0","294.0","168.7","6,425.8","1,581.9","4,318.8","525.2"
"2004","Mobile, AL","250,593","1,170","27","125","673","345","16,417","3,844","11,270","1,303","466.9","10.8","49.9","268.6","137.7","6,551.3","1,534.0","4,497.3","520.0"
"2005","Mobile, AL","249,798","1,165","35","74","597","459","14,349","3,832","9,396","1,121","466.4","14.0","29.6","239.0","183.7","5,744.2","1,534.0","3,761.4","448.8"
"2006","Mobile, AL","250,152","1,167","34","83","685","365","15,849","3,662","10,857","1,330","466.5","13.6","33.2","273.8","145.9","6,335.7","1,463.9","4,340.2","531.7"
"2007","Mobile, AL","253,842","1,144","38","23","750","333","14,136","3,650","9,361","1,125","450.7","15.0","9.1","295.5","131.2","5,568.8","1,437.9","3,687.7","443.2"
"2008","Mobile, AL","251,041","1,204","42","27","875","260","13,846","3,305","9,470","1,071","479.6","16.7","10.8","348.5","103.6","5,515.4","1,316.5","3,772.3","426.6"
"2009","Mobile, AL","246,171","1,994","24","37","857","1,076","14,123","3,716","9,457","950","810.0","9.7","15.0","348.1","437.1","5,737.1","1,509.5","3,841.6","385.9"
"2010","Mobile, AL","251,106","1,702","25","59","653","965","14,179","3,873","9,279","1,027","677.8","10.0","23.5","260.0","384.3","5,646.6","1,542.4","3,695.3","409.0"
"2011","Mobile, AL","251,869","1,619","30","48","637","904","13,650","4,058","8,891","701","642.8","11.9","19.1","252.9","358.9","5,419.5","1,611.2","3,530.0","278.3"
"2012","Mobile, AL","251,516","1,314","32","45","460","777","12,103","2,796","8,755","552","522.4","12.7","17.9","182.9","308.9","4,812.0","1,111.7","3,480.9","219.5"
