"Year","City","Violent Crime Total","Murder and Nonnegligent Manslaughter","Rape","Robbery","Aggravated Assault","Property Crime Total","Burglary","Larceny-Theft","Motor Vehicle Theft"
"2001","Mobile, AL","482","23","15","199","245","2,059","1,639","123"
"2002","Mobile, AL","587","30","15","248","294","2,564","2,061","155"
"2003","Mobile, AL","568","12","33","266","257","2,506","2,042","121"
"2004","Mobile, AL","403","9","18","186","190","2,609","2,038","124"
"2005","Mobile, AL","468","22","18","208","220","2,305","1,778","129"
"2006","Mobile, AL","469","19","20","225","205","2,345","1,754","165"
"2007","Mobile, AL","546","31","27","259","229","2,514","1,886","149"
"2008","Mobile, AL","650","33","19","408","190","2,978","2,318","146"
"2009","Mobile, AL","585","27","18","341","199","3,045","2,298","123"
"2010","Mobile, AL"
"2011","Mobile, AL"
"2012","Mobile, AL"
"2013","Mobile, AL"
"2014","Mobile, AL"
"2001","Anchorage, AK","529","12","23","112","382","2,356","2,013","166"
"2002","Anchorage, AK","539","21","32","112","374","2,844","2,425","229"
"2003","Anchorage, AK","537","14","28","87","408","2,764","2,341","217"
"2004","Anchorage, AK","616","15","25","98","478","2,156","1,836","168"
"2005","Anchorage, AK"
"2006","Anchorage, AK","773","18","26","104","625","2,739","2,361","211"
"2007","Anchorage, AK","887","22","32","121","712","2,686","2,320","191"
"2008","Anchorage, AK","1,287","10","29","225","1,023","2,466","2,123","146"
"2009","Anchorage, AK","1,265","15","50","243","957","2,391","2,049","134"
"2010","Anchorage, AK","1,189","11","40","187","951","2,214","1,921","116"
"2011","Anchorage, AK","1,084","17","57","166","844","2,115","1,832","109"
"2012","Anchorage, AK","1,189","9","72","155","953","2,247","1,929","129"
"2013","Anchorage, AK","","13","","192","789","2,622","2,354","128"
"2014","Anchorage, AK","","10","","162","819","2,080","1,807","108"
"2001","Chandler, AZ","180","1","1","31","147","846","668","87"
"2002","Chandler, AZ","213","2","8","32","171","1,061","850","96"
"2003","Chandler, AZ","267","6","17","45","199","1,124","944","102"
"2004","Chandler, AZ","324","- 1","11","52","261","1,231","984","137"
"2005","Chandler, AZ","328","3","7","64","254","1,174","902","173"
"2006","Chandler, AZ","318","5","6","49","258","1,090","886","107"
"2007","Chandler, AZ","299","3","3","76","217","1,264","1,080","78"
"2008","Chandler, AZ","306","3","6","88","209","1,453","1,275","76"
"2009","Chandler, AZ","313","7","4","87","215","1,652","1,467","51"
"2010","Chandler, AZ","293","7","7","69","210","1,462","1,294","48"
"2011","Chandler, AZ","270","3","12","48","207","1,341","1,195","31"
"2012","Chandler, AZ","234","3","11","53","167","1,331","1,229","19"
"2013","Chandler, AZ","","- 1","","49","155","1,052","993","23"
"2014","Chandler, AZ","","6","","26","155","1,243","1,119","39"
"2001","Mesa, AZ","773","5","4","84","680","2,819","2,459","194"
"2002","Mesa, AZ","801","7","13","87","694","3,191","2,740","245"
"2003","Mesa, AZ","824","6","10","105","703","3,518","2,882","360"
"2004","Mesa, AZ","860","13","15","79","753","3,473","2,954","278"
"2005","Mesa, AZ","740","14","21","96","609","3,399","2,946","253"
"2006","Mesa, AZ","644","11","31","121","481","3,213","2,788","196"
"2007","Mesa, AZ","758","17","24","208","509","3,819","3,329","203"
"2008","Mesa, AZ","857","15","22","250","570","3,961","3,495","130"
"2009","Mesa, AZ","781","8","24","245","504","3,685","3,233","95"
"2010","Mesa, AZ","758","12","22","248","476","3,580","3,096","97"
"2011","Mesa, AZ","717","16","21","221","459","3,856","3,392","133"
"2012","Mesa, AZ","740","10","22","204","504","4,235","3,767","124"
"2013","Mesa, AZ","~","24","~","171","453","4,023","3,568","99"
"2014","Mesa, AZ","~","9","~","202","622","4,268","3,766","76"
"2001","Tucson, AZ","1,037","44","34","361","598","5,740","4,398","733"
"2002","Tucson, AZ","961","65","16","268","612","6,379","5,105","626"
"2003","Tucson, AZ","943","38","14","314","577","6,612","5,228","672"
"2004","Tucson, AZ","858","44","22","235","557","6,608","5,152","752"
"2005","Tucson, AZ","967","47","26","265","629","5,661","4,276","719"
"2006","Tucson, AZ","868","43","20","248","557","5,316","4,106","679"
"2007","Tucson, AZ","810","37","20","217","536","5,988","4,954","514"
"2008","Tucson, AZ","831","50","16","252","513","5,893","4,933","436"
"2009","Tucson, AZ","890","33","15","286","556","5,667","4,909","275"
"2010","Tucson, AZ","786","51","11","177","547","5,868","5,152","244"
"2011","Tucson, AZ","845","42","14","248","541","5,078","4,494","159"
"2012","Tucson, AZ","860","42","27","256","535","4,129","3,467","186"
"2013","Tucson, AZ","~","28","~","251","455","4,717","4,206","125"
"2014","Tucson, AZ","~","29","~","214","423","5,656","5,098","100"
"2001","Phoenix, AZ","2,440","74","71","669","1,626","12,299","8,604","2,005"
"2002","Phoenix, AZ","2,567","71","52","676","1,768","12,836","8,699","2,436"
"2003","Phoenix, AZ","2,373","67","71","597","1,638","12,631","8,241","2,549"
"2004","Phoenix, AZ","2,329","71","45","608","1,605","12,789","8,736","2,349"
"2005","Phoenix, AZ","2,431","75","58","622","1,676","12,328","8,445","2,379"
"2006","Phoenix, AZ","2,490","77","54","638","1,721","10,191","6,573","2,064"
"2007","Phoenix, AZ","2,518","77","55","825","1,561","11,610","8,041","1,819"
"2008","Phoenix, AZ","2,755","91","39","846","1,779","12,050","9,234","1,049"
"2009","Phoenix, AZ","2,917","55","74","923","1,865","12,985","10,913","659"
"2010","Phoenix, AZ","2,514","68","59","725","1,662","11,084","9,158","457"
"2011","Phoenix, AZ","2,582","68","52","714","1,748","11,463","9,311","450"
"2012","Phoenix, AZ","3,048","75","70","843","2,060","12,228","9,482","546"
"2013","Phoenix, AZ","~","81","~","818","2,349","13,243","10,913","614"
"2014","Phoenix, AZ","~","50","~","627","1,945","11,371","9,414","660"
"2001","Anaheim, CA","894","9","16","102","767","1,661","1,009","261"
"2002","Anaheim, CA","1,005","25","9","100","871","1,970","1,288","219"
"2003","Anaheim, CA","970","7","18","104","841","1,594","865","260"
"2004","Anaheim, CA","973","13","21","123","816","1,558","802","254"
"2005","Anaheim, CA","962","23","14","157","768","1,291","591","274"
"2006","Anaheim, CA","1,084","26","34","148","876","1,104","493","221"
"2007","Anaheim, CA","1,074","45","13","182","834","1,304","655","155"
"2008","Anaheim, CA","963","21","14","206","722","1,241","604","112"
"2009","Anaheim, CA","976","19","18","198","741","1,214","609","77"
"2010","Anaheim, CA","960","16","15","206","723","1,099","502","78"
"2011","Anaheim, CA","955","10","27","198","720","1,005","466","81"
"2012","Anaheim, CA","979","38","16","179","746","1,036","432","109"
"2013","Anaheim, CA","~","23","~","186","728","1,072","523","108"
"2014","Anaheim, CA","~","20","~","167","738","900","488","87"
"2001","Bakersfield, CA","1,327","19","22","198","1,088","2,532","1,647","86"
"2002","Bakersfield, CA","1,558","22","28","156","1,352","2,620","1,623","104"
"2003","Bakersfield, CA","1,287","11","12","215","1,049","3,349","2,002","385"
"2004","Bakersfield, CA","1,443","22","26","206","1,189","3,543","2,164","357"
"2005","Bakersfield, CA","1,588","31","11","208","1,338","3,046","1,776","239"
"2006","Bakersfield, CA","1,759","23","23","231","1,482","3,082","1,728","251"
"2007","Bakersfield, CA"
"2008","Bakersfield, CA","2,386","62","16","359","1,949","3,363","1,913","209"
"2009","Bakersfield, CA","2,095","26","20","306","1,743","3,201","1,832","156"
"2010","Bakersfield, CA","1,877","54","11","290","1,522","2,876","1,578","120"
"2011","Bakersfield, CA","1,890","68","20","304","1,498","2,540","1,214","121"
"2012","Bakersfield, CA"
"2013","Bakersfield, CA","~","33","~","372","1,475","2,358","1,114","154"
"2014","Bakersfield, CA","~","30","~","355","1,730","2,720","1,339","124"
"2001","Chula Vista, CA","654","3","16","102","533","1,060","614","101"
